Date,Luminosite,Humidite,CO2,Temperature,Batterie
2023-12-11 19:08:08,212.0,39.0,546.0,24.2,3.6510000000000002
2023-12-11 19:13:08,212.0,39.0,562.0,24.2,3.6510000000000002
2023-12-11 19:18:08,208.0,40.0,551.0,24.3,3.6510000000000002
2023-12-11 19:23:08,208.0,40.0,563.0,24.2,3.6510000000000002
2023-12-11 19:28:08,0.0,40.0,600.0,24.3,3.6510000000000002
2023-12-11 19:33:08,0.0,40.0,605.0,24.3,3.6510000000000002
2023-12-11 19:38:08,0.0,40.0,590.0,24.2,3.6510000000000002
2023-12-11 19:43:08,0.0,40.0,625.0,24.2,3.6510000000000002
2023-12-11 19:48:08,0.0,40.0,611.0,24.1,3.6510000000000002
2023-12-11 19:53:08,0.0,40.0,587.0,24.0,3.6510000000000002
2023-12-11 19:58:08,0.0,41.0,594.0,24.1,3.6510000000000002
2023-12-11 20:03:08,0.0,41.0,596.0,24.0,3.6510000000000002
2023-12-11 20:08:08,0.0,41.0,597.0,24.0,3.6510000000000002
2023-12-11 20:13:08,0.0,41.0,592.0,23.9,3.6510000000000002
2023-12-11 20:18:08,0.0,41.0,603.0,23.9,3.6510000000000002
2023-12-11 20:23:08,0.0,41.0,584.0,23.8,3.6510000000000002
2023-12-11 20:28:08,0.0,41.0,597.0,23.8,3.6510000000000002
2023-12-11 20:33:08,0.0,41.0,589.0,23.8,3.6510000000000002
2023-12-11 20:38:08,0.0,41.0,575.0,23.8,3.6510000000000002
2023-12-11 20:43:08,0.0,41.0,579.0,23.7,3.6510000000000002
2023-12-11 20:48:08,0.0,41.0,579.0,23.7,3.6510000000000002
2023-12-11 20:53:08,0.0,41.0,577.0,23.6,3.6510000000000002
2023-12-11 20:58:08,0.0,41.0,589.0,23.6,3.6510000000000002
2023-12-11 21:03:08,0.0,41.0,578.0,23.6,3.6510000000000002
2023-12-11 21:08:08,0.0,41.0,569.0,23.6,3.6510000000000002
2023-12-11 21:13:08,0.0,41.0,575.0,23.6,3.6510000000000002
2023-12-11 21:18:08,0.0,41.0,587.0,23.6,3.6510000000000002
2023-12-11 21:23:08,0.0,41.0,573.0,23.6,3.6510000000000002
2023-12-11 21:28:08,0.0,41.0,580.0,23.5,3.6510000000000002
2023-12-11 21:33:08,0.0,41.0,555.0,23.5,3.6510000000000002
2023-12-11 21:38:08,0.0,41.0,580.0,23.5,3.6510000000000002
2023-12-11 21:43:08,0.0,41.0,562.0,23.5,3.6510000000000002
2023-12-11 21:48:08,0.0,41.0,549.0,23.5,3.6510000000000002
2023-12-11 21:53:08,0.0,41.0,541.0,23.5,3.6510000000000002
2023-12-11 21:58:08,0.0,42.0,559.0,23.5,3.6510000000000002
2023-12-11 22:03:08,0.0,42.0,561.0,23.4,3.6510000000000002
2023-12-11 22:08:08,0.0,42.0,569.0,23.4,3.6510000000000002
2023-12-11 22:13:08,0.0,42.0,565.0,23.4,3.653
2023-12-11 22:18:08,0.0,42.0,552.0,23.4,3.6510000000000002
2023-12-11 22:23:08,0.0,42.0,570.0,23.3,3.6510000000000002
2023-12-11 22:28:08,0.0,42.0,556.0,23.3,3.6510000000000002
2023-12-11 22:33:08,0.0,42.0,555.0,23.3,3.6510000000000002
2023-12-11 22:38:08,0.0,42.0,535.0,23.4,3.6510000000000002
2023-12-11 22:43:08,0.0,42.0,542.0,23.3,3.6510000000000002
2023-12-11 22:48:08,0.0,42.0,550.0,23.3,3.6510000000000002
